3, CIN, DEN, -3.5
3, ARI, BUF, -4.5
3, BAL, JAC, 0
3, MIA, CLE, -10
3, NYG, WAS, -4.5
3, GB, DET, -7.5
3, CAR, MIN, -7
3, SEA, SF, -9.5
3, TB, LA, -4.5
3, PIT, PHI, -3.5
3, KC, NYJ, -3
3, IND, SD, -2.5
3, DAL, CHI, -7
3, NO, ATL, -3
3, TEN, OAK, -1
4, IND, JAC, -3.5
4, HOU, TEN, -7
4, WAS, CLE, -7.5
4, SEA, NYJ, -2
4, NE, BUF, 0
4, CAR, ATL, -3.5
4, BAL, OAK, -2
4, CHI, DET, -1.5
4, DEN, TB, -2.5
4, ARI, LA, -7
4, SD, NO, -3
4, DAL, SF, -3
4, PIT, KC, -4
4, MIN, NYG, -6
5, NE, CLE, -7
5, DET, PHI, -1
5, IND, CHI, -3.5
5, MIA, TEN, -5.5
5, BAL, WAS, -2.5
5, MIN, HOU, -6
5, PIT, NYJ, -6
5, DEN, ATL, -6.5
5, DAL, CIN, 0
5, BUF, LA, -1
5, OAK, SD, -4.5
5, GB, NYG, -8
5, CAR, TB, -10
6, BUF, SF, -7
6, WAS, PHI, -3
6, TEN, CLE, -3.5
6, NYG, BAL, -3
6, CAR, NO, -4.5
6, CHI, JAC, -3.5
6, DET, LA, -1.5
6, PIT, MIA, -3.5
6, NE, CIN, -4
6, OAK, KC, 0
6, SEA, ATL, -10
6, GB, DAL, -6
6, HOU, IND, -1.5
6, ARI, NYJ, -4
7, LA, NYG, 0
7, KC, NO, -8
7, IND, TEN, -3.5
7, MIN, PHI, -1.5
7, CIN, CLE, -11.5
7, DET, WAS, -1
7, OAK, JAC, 0
7, MIA, BUF, -1
7, NYJ, BAL, -4
7, SF, TB, 0
7, ATL, SD, -3
7, NE, PIT, 0
7, ARI, SEA, -1
7, DEN, HOU, -6.5
8, CIN, WAS, -4
8, TB, OAK, 0
8, SEA, NO, -5
8, HOU, DET, -4
8, NYJ, CLE, -5
8, GB, ATL, -4
8, NE, BUF, -3
8, DEN, SD, -7
8, CAR, ARI, -3.5
8, DAL, PHI, -3.5
8, MIN, CHI, -2.5
9, MIN, DET, -6.5
9, NYG, PHI, -3
9, MIA, NYJ, 0
9, KC, JAC, -7
9, DAL, CLE, -5
9, PIT, BAL, -2.5
9, SF, NO, 0
9, CAL, LA, -3.5
9, GB, IND, -6
9, SD, TEN, -4.5
9, DEN, OAK, -1
9, SEA, BUF, -10
10, HOU, JAC, -1
10, DEN, NO, -1
10, NYJ, LA, -4
10, PHI, ATL, -2.5
10, CAR, KC, -4.5
10, TB, CHI, -2
10, MIN, WAS, -1.5
10, GB, TEN, -7.5
10, SD, MIA, -1
10, ARI, SF, -10.5
10, PIT, DAL, -6
10, NE, SEA, -2
10, CIN, NYG, -2
11, PIT, CLE, -8.5
11, DAL, BAL, -4.5
11, DET, JAC, -3.5
11, IND, TEN, -8
11, CIN, BUF, -5.5
11, KC, TB, -7
11, NYG, CHI, -4
11, MIN, ARI, -1.5
11, LA, MIA, -2
11, NE, SF, -6
11, SEA, PHI, -9
11, GB, WAS, -2.5
