54th              k.c.  bal   sea   hou   n.e.  pit
alleyoop          det   bal   g.b.  den   pit   buf
barenakedladies   k.c.  car   dal   den   n.e.  buf
big jer           hou   car   mia   was   pit   n.e.
butthead-1        oak   car   mia   was   n.e.  pit
chowd-1           k.c.  car   sea   was   pit   ten
christine-4       bal   n.e.  g.b.  min   pit   buf
chuggernaut       sea   car   mia   was   n.e.  buf
cinnamin          k.c.  car   mia   was   pit   buf
citizen kane      g.b.  car   sea   den   oak   pit
cowboy zeke       g.b.  car   dal   was   n.e.  pit
dondada           g.b.  car   dal   den   min   n.e.
duckiejduck-2     hou   ari   mia   was   min   buf
elmo-57           sea   car   mia   was   n.e.  buf
gerald laird-1    k.c.  car   mia   hou   n.e.  ten
gerald laird-2    sea   car   mia   hou   g.b.  n.e.
gerald laird-3    sea   car   mia   pit   n.e.  ten
gerald laird-4    sea   car   mia   pit   g.b.  n.e.
gerald laird-5    sea   car   g.b.  pit   min   n.e.
gibbsy-3          k.c.  car   mia   was   min   n.e.
guff-2            hou   bal   mia   was   n.e.  oak
jag-1             sea   car   g.b.  pit   n.e.  buf
jaguar-1          k.c.  car   mia   was   n.e.  buf
jaguar-3          sea   car   mia   hou   pit   ten
jdrf-campo        sea   car   mia   was   n.e.  pit
jdrf-irv          k.c.  car   dal   was   n.e.  pit
jerman-1          bal   car   dal   was   min   ten
kennythelieb-1    sea   n.e.  dal   was   pit   ten
killer b-1        g.b.  car   dal   was   n.e.  pit
ko pectate        hou   bal   mia   was   n.e.  ten
my huge deck      hou   bal   mia   was   n.e.  ten
noe               sea   n.e.  mia   was   pit   buf
peppagarth        min   car   sea   den   oak   pit
rc3               k.c.  bal   mia   was   g.b.  n.e.
sb                hou   ari   dal   was   n.e.  pit
scam-2            hou   car   sea   was   min   pit
spanky            k.c.  ari   sea   was   g.b.  n.e.
st. nick          sea   bal   dal   was   n.e.  pit
statman           phi   ari   mia   was   pit   buf
suk it giants     k.c.  ari   sea   was   n.e.  pit
the mayor         sea   car   dal   was   n.e.  pit
tsizzle           sea   ari   mia   was   n.e.  ten
tubsoffun-2       k.c.  car   sea   was   n.e.  ari
tunafish-2        hou   ari   sea   was   pit   ten
tunde             sea   car   g.b.  pit   n.e.  ten
veb-3             sea   car   mia   pit   n.e.  buf
waterhead         hou   bal   mia   den   min   g.b.
wbia-3            sea   bal   dal   pit   n.e.  ari
wbia-4            g.b.  car   mia   min   pit   n.e.
whydaddydrinks-2  bal   ari   dal   min   g.b.  pit
wixom dick-2      k.c.  den   dal   hou   pit   ari
